ucf_class,behavior,intra_class_variance,distance_from_ssv2_center,within_class_similarity,embedding_norm,top1_prob_mean,top1_prob_std,n_videos
ApplyEyeMakeup,HIGH_CONF_CONSISTENT,0.36904786885512253,0.14494348835437632,0.8388556286823826,49.687179165678,0.6949505418539047,0.21876223325565536,20
ApplyLipstick,LOW_CONF_SCATTERED,0.24002732943060945,0.12183271032988385,0.8932582455171858,49.230598840651524,0.32878962308168413,0.20605234852789606,20
Archery,LOW_CONF_SCATTERED,0.379150571408831,0.06256266887968676,0.8293238061684907,48.862399191415236,0.2826191172003746,0.14226817500331057,20
BabyCrawling,LOW_CONF_SCATTERED,0.32507074249280055,0.16045704833224694,0.8692312195956127,51.45353267713976,0.26240446865558625,0.12365012796887347,20
BalanceBeam,HIGH_CONF_CONSISTENT,0.33941918118962955,0.12696818484003214,0.8575617241081306,49.93819531953225,0.44406178295612336,0.16687913807149593,20
BandMarching,LOW_CONF_SCATTERED,0.4325001956134199,0.15284718480704695,0.8214482238333077,52.39641800887114,0.3770642071962357,0.22043243264010323,10
BaseballPitch,LOW_CONF_SCATTERED,0.4798607607463524,0.08195974460783884,0.8028257195011897,52.231390118724924,0.31374374479055406,0.12103415923753776,10
Basketball,HIGH_CONF_CONSISTENT,0.2322606960500428,0.14094371945976425,0.9040266423421666,52.543194098382024,0.4359664171934128,0.0571967511089629,10
BasketballDunk,HIGH_CONF_CONSISTENT,0.1422041917169914,0.11277286595750069,0.9342855921107269,49.462587743989204,0.47445148229599,0.20835209426991663,10
BenchPress,HIGH_CONF_CONSISTENT,0.3150942438996402,0.34922045425806614,0.8918061979399773,56.91206756559253,0.5775502845644951,0.21502673021131666,10
Biking,LOW_CONF_SCATTERED,0.19861449099262302,0.27984525626311485,0.9249926743344381,54.74869339990569,0.35037747472524644,0.1649372084871773,10
Billiards,HIGH_CONF_INCONSISTENT,0.12524981113807654,0.34776445884411,0.954362979115005,55.63838656235093,0.41322293430566787,0.1675254623765286,10
BlowDryHair,HIGH_CONF_CONSISTENT,0.4768408922034944,0.15870707511442594,0.8051194376347703,51.50603259179833,0.40481905490159986,0.15263502104070034,10
BlowingCandles,LOW_CONF_SCATTERED,0.525542078108335,0.12244259815573044,0.7627271795346254,50.119623732393165,0.3175089739263058,0.2381865690944544,10
BodyWeightSquats,LOW_CONF_SCATTERED,0.5820956920441206,0.11726131766623582,0.7464207096066571,50.83011376144812,0.2775312930345535,0.2235968436495939,10
Bowling,HIGH_CONF_INCONSISTENT,0.25983650680252895,0.2164263912729082,0.8845645189094063,50.12735360697393,0.4124229207634926,0.14808727089669854,10
BoxingPunchingBag,LOW_CONF_SCATTERED,0.2240341404219762,0.1096979823062838,0.8975836184583066,50.094316967752995,0.39530772864818575,0.1546348757091074,10
BoxingSpeedBag,HIGH_CONF_CONSISTENT,0.3118421015143553,0.1235104607704065,0.8555451990349766,49.47194700730261,0.4813853159546852,0.19030725611791544,10
BreastStroke,LOW_CONF_SCATTERED,0.3861346155433757,0.17913175247873137,0.8474384771794866,53.28428311269015,0.24937401264905926,0.149312217203613,10
BrushingTeeth,LOW_CONF_SCATTERED,0.40562975517874333,0.14607529731771773,0.814842289244151,50.0898962974057,0.28279014602303504,0.18894133892604598,10
CleanAndJerk,HIGH_CONF_CONSISTENT,0.23393264943839148,0.19649131574157108,0.9028236272372666,52.10036364508458,0.6161126375198365,0.28162824889096716,10
CliffDiving,HIGH_CONF_CONSISTENT,0.19293192237690415,0.2018648733528008,0.9213117608990902,52.75621711104519,0.45524924993515015,0.14103823501332022,10
CricketBowling,LOW_CONF_SCATTERED,0.29600351988772766,0.14017388190156355,0.8807146249283788,53.2206359267639,0.23022880032658577,0.15519150287382158,10
CricketShot,LOW_CONF_SCATTERED,0.28959968475300435,0.12191475982919553,0.8797365484397772,52.41506045149863,0.31598094776272767,0.20829485675032738,10
CuttingInKitchen,HIGH_CONF_CONSISTENT,0.38032591281069406,0.15200486466632346,0.8288869529431236,50.28435650376467,0.6952732294797898,0.23527027458581146,10
Diving,HIGH_CONF_CONSISTENT,0.24380576545652438,0.37312232954128877,0.924900419995498,59.478398856261165,0.43390026688575745,0.09030372223845334,10
Drumming,HIGH_CONF_CONSISTENT,0.353905191067529,0.2869394322808638,0.8515404525332919,51.92965607010599,0.7384819865226746,0.1877512591640295,10
Fencing,HIGH_CONF_CONSISTENT,0.20415633929785829,0.09631966827646077,0.9106451160749938,50.970125222495604,0.6477579832077026,0.2712760875897675,10
FieldHockeyPenalty,HIGH_CONF_CONSISTENT,0.31306498819472767,0.08633257475855571,0.8575875745676561,49.98687086803023,0.506261584162712,0.25526098725122287,10
FloorGymnastics,LOW_CONF_SCATTERED,0.24576149390104587,0.12614500462897604,0.8830689130740527,48.899229308027266,0.3983264550566673,0.16695102098294562,10
FrisbeeCatch,HIGH_CONF_INCONSISTENT,0.31319273566931577,0.11314401306735278,0.864091963683822,51.13124945320094,0.49983703792095185,0.2323827710413059,10
FrontCrawl,LOW_CONF_SCATTERED,0.45829874215697824,0.16612805712595402,0.8290796853160829,55.20690528518385,0.33596498519182205,0.17243090732790917,10
GolfSwing,HIGH_CONF_INCONSISTENT,0.26308346828239604,0.16823378008682655,0.8857574797385431,50.9955650033405,0.47127098590135574,0.23910692315662802,10
Haircut,LOW_CONF_SCATTERED,0.6467530409225644,0.15717798189565058,0.7243235917467881,51.6573504613108,0.31104346364736557,0.18432399504789318,10
HammerThrow,LOW_CONF_SCATTERED,0.42670636735724166,0.10622621299218271,0.8102251154031731,50.42380192965177,0.30441001802682877,0.12049709418383737,10
Hammering,HIGH_CONF_CONSISTENT,0.44569733964159663,0.11185968512276778,0.7923437488229843,49.40290566595574,0.6583343118429184,0.24346442554976097,10
HandstandPushups,HIGH_CONF_CONSISTENT,0.40246732256781603,0.14336894665765465,0.8354613707736358,52.466887866968065,0.40107050687074663,0.17391634836008613,10
HandstandWalking,LOW_CONF_SCATTERED,0.5863069891837785,0.09638212062824403,0.7546595663909402,52.012595781801664,0.3342943899333477,0.2789285234099747,10
HeadMassage,LOW_CONF_SCATTERED,0.4500183936179487,0.1418293507598648,0.7938534828009294,49.75071564926133,0.30308874845504763,0.09008606026429786,10
HighJump,LOW_CONF_SCATTERED,0.33927044676293017,0.17234554995950258,0.8714007667950725,53.84824621374613,0.3556225702166557,0.1625291249616264,10
HorseRace,HIGH_CONF_INCONSISTENT,0.19303015705896936,0.2753603409359384,0.9186129071532841,51.86665873718196,0.5646797835826873,0.2125651488547474,10
HorseRiding,HIGH_CONF_INCONSISTENT,0.15865527009091754,0.2781591955436359,0.9334260959941428,51.91259846061555,0.4763171374797821,0.1933374242421615,10
HulaHoop,HIGH_CONF_CONSISTENT,0.3099897299295499,0.1273185323304229,0.8594322790166096,49.773866352066925,0.8078604638576508,0.09977015394862578,10
IceDancing,HIGH_CONF_CONSISTENT,0.14879301152436544,0.15580413587944586,0.934242154712764,50.39614318280985,0.42862417101860045,0.16066300356570049,10
JavelinThrow,HIGH_CONF_INCONSISTENT,0.36803227298296276,0.12368136537557195,0.8486963049851542,52.57813994734498,0.4264306977391243,0.2774259741402586,10
JugglingBalls,HIGH_CONF_CONSISTENT,0.4972147499201511,0.15683800906282885,0.8015200125090945,53.023568327853084,0.48447767794132235,0.1252700063987172,10
JumpRope,HIGH_CONF_INCONSISTENT,0.32825080110872146,0.1303296406404667,0.8515334678476983,50.24456897471566,0.4561452329158783,0.19626662919472482,10
JumpingJack,LOW_CONF_SCATTERED,0.22435774672635872,0.2050485455520933,0.9060331243902041,52.21368168725402,0.2949590072035789,0.06934562869611118,10
Kayaking,HIGH_CONF_INCONSISTENT,0.28693990637842426,0.276081423532463,0.908779652405707,58.056687384183775,0.4928861901164055,0.30406592434108964,10
Knitting,LOW_CONF_SCATTERED,0.19416382730756143,0.290024576483475,0.9221298974184365,53.210153642940874,0.3516354441642761,0.1499219701875207,10
LongJump,LOW_CONF_SCATTERED,0.19717341665268295,0.12852289324832367,0.9133398237007971,50.44063602111352,0.2569361969828606,0.12787792897840936,10
Lunges,LOW_CONF_SCATTERED,0.4079074330660224,0.14148514994323502,0.8299490169110382,51.65269748122633,0.22785279601812358,0.06977293767812687,10
MilitaryParade,HIGH_CONF_INCONSISTENT,0.35341813611888995,0.13339745784551704,0.8535096155328332,51.92139061412909,0.4026044324040413,0.1908942054006197,10
Mixing,HIGH_CONF_INCONSISTENT,0.4014217499932904,0.15942002278131429,0.8164618473020528,49.74889572116358,0.5020647689700126,0.2217830138368396,10
MoppingFloor,LOW_CONF_SCATTERED,0.3841665622294532,0.08701979583441855,0.8149741277182451,48.55376350401536,0.36843939274549486,0.1522981936323147,10
Nunchucks,HIGH_CONF_CONSISTENT,0.5115357729499082,0.13498218271315232,0.7882838798207841,51.57237798336132,0.57672980427742,0.177676779464354,10
ParallelBars,HIGH_CONF_CONSISTENT,0.3127823933871482,0.09996169198750593,0.8557887133742835,48.96955437758622,0.5421420007944107,0.17212148452760448,10
PizzaTossing,LOW_CONF_SCATTERED,0.4857661056951852,0.09618266346296667,0.7816921256085612,50.22033341087857,0.3894140660762787,0.16759281760185343,10
PlayingCello,HIGH_CONF_CONSISTENT,0.27538744417768085,0.49222292322283634,0.9161486851080416,61.19814386635021,0.582358318567276,0.1541161422206971,10
PlayingDaf,LOW_CONF_SCATTERED,0.22182038240563368,0.14080644288416855,0.894744600217781,49.012432550565805,0.375169687718153,0.12482174111435673,10
PlayingDhol,HIGH_CONF_CONSISTENT,0.2322090650835169,0.16025355012323228,0.892061325330768,49.5929787410599,0.8340123236179352,0.24471807696761205,10
PlayingFlute,HIGH_CONF_CONSISTENT,0.25434619550144877,0.21348906640435883,0.8873403990094971,50.86497712581165,0.5838068226973215,0.14532399341787494,9
PlayingGuitar,LOW_CONF_SCATTERED,0.29148458699813096,0.3610307985943062,0.880704360511665,52.71088354729825,0.3994433179497719,0.14894544832541415,10
PlayingPiano,LOW_CONF_SCATTERED,0.31939287812914713,0.22240294068513922,0.8583522215558866,50.52493802601982,0.35995679795742036,0.16616063617077972,10
PlayingSitar,LOW_CONF_SCATTERED,0.21363440112848564,0.31779895373538847,0.9109662335505428,52.34572265914701,0.37117970883846285,0.13882308078578387,10
PlayingTabla,LOW_CONF_SCATTERED,0.4806748119556974,0.1878049771109055,0.7945930369594916,51.48798990201635,0.25158192217350006,0.052065136700387926,10
PlayingViolin,HIGH_CONF_CONSISTENT,0.4209138648195757,0.2874617811936748,0.8405545846085166,54.32287343773589,0.5989067316055298,0.2392728058009402,10
PoleVault,LOW_CONF_SCATTERED,0.37117311181619117,0.29463705962517994,0.8792826145068796,58.76407064905916,0.16767285317182537,0.0734509543271035,10
